Country,Document.Name,Publisher.Organization,Year,Link,Summary,Thematic.Areas,Main_Category,Publisher_Origin,Publisher_Region
African Union,Digital Transformation Strategy (2020-2030),African Union (AU),2020,https://au.int/sites/default/files/documents/38507-doc-dts-english.pdf,"Aims to create an integrated and inclusive digital society and economy across Africa, emphasizing an enabling environment, infrastructure, and skills.","Digital Economy, Regional Integration",Regional Integration & Geopolitics,International,African
Ghana,VASP Law (Proposed),Bank of Ghana,2025,https://bentsienchill.com/bank-of-ghana-to-commence-regulation-of-cryptocurrency-in-september-2025/,"The central bank intends to commence regulation of virtual assets by the end of September 2025 through the enactment of a VASP law, which will empower the Bank of Ghana and the SEC to license and supervise digital asset entities.","Regulation, VASP, Licensing, Policy","Regulation, Law & Compliance",African,African
Multi-country (inc. Africa),The Digital Hustle: Gig Worker Financial Lives,BFA Global,2021,https://bfaglobal.com/wp-content/uploads/2021/11/The-Digital-Hustle_Gig-Worker-Financial-Lives_Final-1.pdf,"This research on gig economy workers in several African countries touches upon their use of digital financial tools, including crypto, to manage income volatility and save.","Financial Inclusion, Gender & Social Impact",Financial Inclusion & Social Impact,International,International
Africa,How to Run a Bitcoin Node,Bitcoin.org,2024,https://bitcoin.org/en/full-node#what-is-a-full-node,"A technical guide on setting up a full node, which is the core infrastructure of the Bitcoin network. This is relevant to the growing community of African tech enthusiasts contributing to network decentralization.",Infrastructure: Nodes & Validators,Blockchain & Digital Infrastructure,International,International
Africa,Can Bitcoin Mining Help Electrify Africa?,Bitcoin Magazine,2023,https://bitcoinmagazine.com/business/can-bitcoin-mining-help-electrify-africa,Explores several pilot projects in Africa where Bitcoin mining is being used to make new renewable energy projects economically viable from day one.,Energy & Environmental Impact,Environmental & Energy Impact,International,International
Burundi,Bank of the Republic of Burundi Ban,Bank of the Republic of Burundi,2019,https://blockchain.bakermckenzie.com/2019/09/11/burundi-bans-cryptocurrency/,"Burundi banned all trading of cryptocurrencies on its soil, citing an inability to offer digital money users protection in case of problems. The central bank stated that virtual currencies are not regulated and not guaranteed by any government or central bank.","Ban, Consumer Protection","Risk, Security & Consumer Protection",International,African
Africa,Can Blockchain Bust the Counterfeit Drug Market in Africa?,World Bank Blogs,2020,https://blogs.worldbank.org/nasikiliza/can-blockchain-bust-counterfeit-drug-market-africa,A World Bank article outlining the scope of the counterfeit drug problem in Africa and proposing blockchain as a potential technological solution for ensuring drug provenance.,Public Health & Healthcare,Sector-Specific Applications,International,International
Botswana,Virtual Assets Act 2022,Non‑Bank Financial Institutions Regulatory Authority (Botswana),2022,https://botswanalaws.com/bulletin/principal-legislation/bulletin-2021/2021/principle-legislation/virtual-assets-act,"Requires licensing of VASPs, defines virtual asset exchanges, includes KYC/AML, governance, asset custody, whitepaper obligations.","Licensing, AML/CFT, Consumer Protection","Risk, Security & Consumer Protection",International,African
Botswana,Virtual Assets Act,Parliament of Botswana,2025,https://botswanalaws.com/consolidated-statutes/principle-legislation/virtual-assets-act,"Regulates the sale and trade of virtual assets, licensing of VASPs, and initial token offerings, effective January 24, 2025.","Regulatory Framework, Licensing","Regulation, Law & Compliance",International,African
South Africa,The retail payment landscape in South Africa,Cenfri (Centre for Financial Regulation and Inclusion),2021,https://cenfri.org/wp-content/uploads/2021/11/The-retail-payment-landscape-in-South-Africa_Final_Nov2021.pdf,A deep-dive analysis of South Africa's payment systems. This report provides context on the incumbent systems and discusses the disruptive potential and regulatory challenges of digital currencies.,"Regulation, Governance & Legal Frameworks","Regulation, Law & Compliance",International,International
Mauritius,Virtual Asset and Initial Token Offering Services Act 2021 (VAITOS Act),Government of Mauritius,2022,https://charltonsquantum.com/mauritius-virtual-assets-regulation/,"Cryptocurrency is legal and regulated as a Digital Asset. The VAITOS Act establishes a comprehensive framework for VASPs and ITOs, supervised by the Financial Services Commission (FSC).",Regulation,"Regulation, Law & Compliance",International,African
Angola,Law No. 3/24 on the Prohibition of Mining of Cryptocurrencies and Other Virtual Assets,Government of Angola,2024,https://cms.law/en/prt/publication/angola-law-on-the-prohibition-of-mining-of-cryptocurrencies-and-other-virtual-assets,"A law was enacted in April 2024 banning cryptocurrency mining and related activities, with prison sentences of 1 to 12 years. The law defines virtual assets and prohibits their mining throughout the national territory.","Ban, Mining, Legal Framework",Environmental & Energy Impact,International,African
Nigeria,Investments and Securities Act (ISA),National Assembly of Nigeria,2025,https://coingeek.com/nigeria-new-bill-classifies-digital-assets-as-securities/,"Explicitly recognizes digital assets as securities, granting SEC jurisdiction over VASPs and requiring their registration and licensing.","Legal Recognition, Regulatory Oversight","Regulation, Law & Compliance",International,African
South Africa,Directive 9 for Crypto Asset Service Providers (CASPs) & Travel Rule Guidelines,Financial Sector Conduct Authority (FSCA),2025,https://coinpedia.org/cryptocurrency-regulation/cryptocurrency-regulation-in-south-africa/,"Mandates CASP licensing, FATF Travel Rule compliance for transactions >ZAR 25k, and confirms crypto exclusion from exchange controls with capital gains tax (max 18%)","Compliance, Investor Protection","Regulation, Law & Compliance",International,African
Global,Payment gateways for merchants that accept crypto,Cointelegraph,2024,https://cointelegraph.com/top-100/payment-gateways-for-merchants-that-accept-crypto/,"A review of global crypto payment processors (like BitPay, TripleA), many of which are expanding their services to African merchants, providing essential e-commerce infrastructure.",Infrastructure: Payment Gateways,Blockchain & Digital Infrastructure,International,International
Global,Understanding Blockchain Interoperability: The 'Internet of Blockchains',ConsenSys,2023,https://consensys.io/blog/understanding-blockchain-interoperability-the-internet-of-blockchains,"Explains the importance of interoperability protocols (like Cosmos, Polkadot) that allow value to move between different blockchains, a key piece of mature market infrastructure.",Infrastructure: Interoperability,Blockchain & Digital Infrastructure,International,International
ECOWAS (Regional),Regional Critical Infrastructure Protection Policy,Economic Community of West African States (ECOWAS),2021,https://dig.watch/resource/ecowas-regional-critical-infrastructure-protection-policy,"A framework to ensure the resilience and security of the region's infrastructure, including digital services. Defines cybersecurity, cybercrime, and critical information infrastructure.","Regional Policy, Cybersecurity, Digital Infrastructure, Cybercrime","Risk, Security & Consumer Protection",International,African
Rwanda,CBDC Scoping and Feasibility Study,National Bank of Rwanda (NBR),2025,https://dig.watch/updates/rwanda-to-adopt-digital-currency-by-2026,"Actively scoping the introduction of its own CBDC to drive innovation, support cashless economy, and improve cross-border transactions.","CBDC Research, Financial Innovation",CBDC & Monetary Policy,International,African
Ghana,Securing Land Rights through Blockchain: Evidence from a Ghanaian Pilot,World Bank,2023,https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099121503082218012/p16538600d720c02a08ac90e1f72782928c,A detailed report on a World Bank-supported pilot project in Ghana to test the feasibility of a blockchain-based land registry system to improve title security.,Property Tech & Real Estate,Sector-Specific Applications,International,International
Pan-Africa,Africa's Digital Infrastructure and Inclusive Growth,World Bank,2022,https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099125303072530519/P1801740d1170f03c0ab180057a6158a77f,Highlights crypto's role in cross-border remittances (avg. 5.2% cost vs traditional 8.9%) but warns of energy consumption risks,"Digital Infrastructure, Sustainable Finance",Blockchain & Digital Infrastructure,International,International
Mali,Infrastructure Financing via Blockchain,World Bank Group Korea Office,2022,https://documents1.worldbank.org/curated/en/099400407132237243/pdf/IDU0a124ade308b10049bc0b76606ab6c8403920.pdf,Analyzes energy efficiency of CBDCs vs cryptocurrencies in infrastructure financing.,"CBDC vs Crypto, Sustainable Finance",CBDC & Monetary Policy,International,International
Chad,Cryptocurrencies and Blockchain – ECA Economic Update,"World Bank (Chief Economist, Europe & Central Asia)",2018,https://documents1.worldbank.org/curated/en/293821525702130886/pdf/Cryptocurrencies-and-blockchain.pdf,"Examines global and regional trends in blockchain and cryptocurrencies, including economic implications for Chad and ECA region.","Blockchain Adoption, Regional Development",Innovation & Adoption Trends,International,International
Algeria,Blockchain Interoperability,World Bank Technology & Innovation Lab,2017,https://documents1.worldbank.org/curated/en/373781615365676101/pdf/Blockchain-Interoperability.pdf,Explores blockchain interoperability to support cross-border and multi-system integration.,"Blockchain R&D, Technology Integration",Regional Integration & Geopolitics,International,International
Malawi,Digital Identity Wallet Pilot,Government of Malawi,2025,https://dpi.africa.com/africas-digital-backbone-the-latest-on-dpi-transformation-in-2025/,"Piloting a digital identity wallet for low-connectivity areas, targeting full rollout by 2026.","Digital Identity, Financial Inclusion",Financial Inclusion & Social Impact,International,African
Kenya,How Blockchain Improves the Tax System,PwC Kenya / Kenya Revenue Authority (KRA),2017,https://ecampus.kra.go.ke/info/Taxing-the-Digital-Economy/How-BlockChain-Improves-The-Tax-System.pdf,"Examines how blockchain technology can enhance tax systems by improving transparency, reducing fraud, and streamlining data verification.","Blockchain Applications, Tax Administration",Taxation,International,African
ECOWAS,E-commerce Strategy and Implementation Plan,Economic Community of West African States (ECOWAS),2023,https://ecotis.ecowas.int/?page_id=27748&lang=pt,"Adopted to accelerate digital transformation, foster regional integration, and build trust within the e-commerce supply chain.","E-commerce, Regional Integration",Regional Integration & Geopolitics,International,African
ECOWAS,E-commerce Strategy and Implementation Plan (2023-2027),Economic Community of West African States (ECOWAS),2023,https://ecotis.ecowas.int/?page_id=27748&lang=pt,"Aims to accelerate digital transformation, foster regional integration, and build trust within the e-commerce supply chain.","E-commerce, Regional Integration",Regional Integration & Geopolitics,International,African
Algeria,2018 Financial Law,Government of Algeria,2018,https://en.wikipedia.org/wiki/Legality_of_cryptocurrency_by_country_or_territory,"Prohibits the purchase, sale, use, and holding of virtual currency.",Regulatory Prohibition,"Regulation, Law & Compliance",International,African
Nigeria,eNaira,Central Bank of Nigeria (CBN),2021,https://enaira.gov.ng/for-individuals/,"Fully operational CBDC designed to foster financial inclusion and enhance payment efficiency, with tiered KYC requirements.","CBDC, Financial Inclusion, Payment Systems",CBDC & Monetary Policy,International,African
Global,An Introduction to Layer 2 Scaling Solutions,Ethereum.org,2024,https://ethereum.org/en/layer-2/,"A foundational technical explanation of Layer 2 solutions like rollups, which are critical for making transactions affordable for users in African markets.",Infrastructure: L2 Protocols,Blockchain & Digital Infrastructure,International,International
African Union (Regional),Data Policy Framework,African Union (AU),2022,https://fpf.org/blog/the-african-unions-data-policy-framework-context-key-takeaways-and-implications-for-data-protection-on-the-continent/,"Aims to provide a blueprint for Africa's digital economy. Encourages investment in fields like blockchain and stresses data protection, cybersecurity, and data sovereignty.","Regional Policy, Data Governance, Digital Economy, Blockchain, Cybersecurity","Risk, Security & Consumer Protection",International,African
Algeria,2018 Financial Law of Algeria,Government of Algeria,2018,https://freemanlaw.com/cryptocurrency/algeria/,"The 2018 Financial law of Algeria prohibited the purchase, sale, use, and possession of virtual currency. Using cryptocurrency will result in punishment.",Ban,"Regulation, Law & Compliance",International,African
Lesotho,Central Bank of Lesotho Statement,Central Bank of Lesotho,2018,https://freemanlaw.com/cryptocurrency/lesotho/,"The Central Bank warned of the risks associated with cryptocurrencies. They are not legal tender, and promoting crypto investment is barred without a license.","Ban, Regulation, Legal Tender","Regulation, Law & Compliance",International,African
Libya,Central Bank of Libya Announcement,Central Bank of Libya,2018,https://freemanlaw.com/cryptocurrency/libya/,"The Central Bank of Libya announced that virtual currencies are illegal and that no legal protection will be afforded to anyone using or trading them, citing risks of criminal activities.","Ban, Legal Framework","Regulation, Law & Compliance",International,African
Madagascar,Madagascar and Cryptocurrency,Government of Madagascar,2022,https://freemanlaw.com/cryptocurrency/madagascar/,No legal status for cryptocurrencies and no specific regulation. The central bank has opted to explore creating a digital version of the local currency (e-Ariary).,"Regulation, CBDC",CBDC & Monetary Policy,International,African
Zimbabwe,Fintech Framework with Regulatory Sandbox (Planned),Government of Zimbabwe,2020,https://freemanlaw.com/cryptocurrency/zimbabwe/,Announced intention to develop a comprehensive fintech framework that would include a regulatory sandbox for cryptocurrency companies.,"Regulatory Sandbox, Fintech Policy",Digital Economy & Tech Policy,International,African
Kenya,DeFi for Food: A Pilot in Kenya Using Tokenized Harvests as Collateral,FSD Africa,2024,https://fsdafrica.org/article/defi-for-food-a-pilot-in-kenya-using-tokenized-harvests-as-collateral/,A report on a pilot project that allowed farmers to tokenize their future harvest (via warehouse receipts) and use it as collateral to get loans on a DeFi platform.,Advanced Agri-FinTech,Innovation & Adoption Trends,International,African
Africa (Continent-wide),Digital Payments in Sub-Saharan Africa: The Opportunity for Inclusive Growth,FSD Africa,2022,https://fsdafrica.org/wp-content/uploads/2022/10/Digital-Payments-in-Sub-Saharan-Africa-The-Opportunity-for-Inclusive-Growth.pdf,"A report from a key development finance institution, detailing the payments landscape and discussing how new technologies, including blockchain and digital assets, can contribute to inclusive growth.",FinTech & Innovation,Innovation & Adoption Trends,International,African
Chainalysis,2024 Crypto Adoption in Africa Report,Chainalysis,2024,https://go.chainalysis.com/rs/503-FAP-074/images/2023-Geography-of-Crypto-Report.pdf,"Comprehensive analysis of crypto adoption patterns, highlighting peer-to-peer trading, regulatory risks, and fraud hotspots.","Crypto Adoption, Risk, AML/CFT","Risk, Security & Consumer Protection",International,International
Africa (Multi-country),The 2023 Geography of Cryptocurrency Report (Africa Section),Chainalysis,2023,https://go.chainalysis.com/rs/503-FAP-074/images/Geography-of-Crypto-2023.pdf,"A data-driven analysis of on-chain crypto activity. The Africa section provides key metrics on adoption, P2P volumes, and use cases in countries like Nigeria, Kenya, and South Africa.",Adoption & Drivers,Innovation & Adoption Trends,International,International
Nigeria,The State of Web3 in Nigeria: A Developer's Perspective,Hashnode,2023,https://hashnode.com/post/the-state-of-web3-in-nigeria-a-developers-perspective-cly5n1j4m000c09l46g3c7e8a,"A blog post from a Nigerian developer detailing the specific tools, APIs, and infrastructure services (like Infura, Alchemy) that are popular for building dApps in the local market.",Infrastructure: Developer Tools & APIs,Blockchain & Digital Infrastructure,International,International
Kenya,"Finance Bill, 2025",Parliament of Kenya,2025,https://igamingafrika.com/kenya-repeals-digital-assets-tax-introducing-lower-excise-duty-to-boost-cryptocurrency-adoption/,Repealed the 3% digital assets tax and introduced a 10% excise duty on transaction fees to lower costs and encourage adoption.,Taxation,Taxation,International,African
Africa,Can Web3 and DeSci Revolutionize Research in Africa?,AfriArXiv,2024,https://info.afriarxiv.org/can-web3-and-desci-revolutionize-research-in-africa/,A preprint discussing the potential for Decentralized Science (DeSci) and DAOs like VitaDAO to fund research into diseases and other challenges affecting Africa.,Decentralized Science (DeSci),Sector-Specific Applications,International,International
Africa (Continent-wide),A Leader’s Guide to Digital Currencies in Africa: How to Realise the Promise and Mitigate the Risks,Tony Blair Institute for Global Change,2023,https://institute.global/sites/default/files/2023-01/a-leaders-guide-to-digital-currencies-in-africa.pdf,"A policy-focused guide for African leaders, outlining the strategic choices they face regarding CBDCs, private stablecoins, and crypto-assets.","Regulation, Governance & Legal Frameworks","Regulation, Law & Compliance",International,International
Kenya,Digital-Asset Exchange-Traded Products (ETPs) Exploration,Nairobi Securities Exchange (NSE),2024,https://internationalbanker.com/finance/africas-capital-market-opportunity-is-tokenization-the-secret-key-to-unlock-africas-economic-potential/,"Partnership to explore digital-asset ETPs, signaling integration of tokenized assets into traditional financial markets.","Asset Tokenization, Capital Markets",Economic & Financial Impact,International,International
Nigeria,Property Tokenization Initiative (Lagos State),Lagos State Government,2025,https://internationalbanker.com/finance/africas-capital-market-opportunity-is-tokenization-the-secret-key-to-unlock-africas-economic-potential/,Initiative to divide properties into digital tokens to enable fractional ownership and democratize real estate investment.,"Asset Tokenization, Real Estate",Sector-Specific Applications,International,African
Comoros,Offshore Crypto License Framework,Moheli Corporate Services,2022,https://intwealth.info/comoros-crypto-license,"No specific national regulation, but offshore crypto licenses are available through the Mwali International Services Authority, covering a wide range of financial and crypto-related activities.",Regulation,"Regulation, Law & Compliance",International,International
Ethiopia,Ethiopia's Atala PRISM: A Look into Cardano's Digital ID Blockchain,IOHK,2021,https://iohk.io/en/blog/posts/2021/04/29/iohk-ethiopia-announcement/,The announcement and technical overview of a major Layer 1 infrastructure project: using the Cardano blockchain to build a national digital identity system for students in Ethiopia.,Infrastructure: Layer 1 (Cardano),Blockchain & Digital Infrastructure,International,International
Uganda,Insurance Regulatory Sandbox Guidelines,Insurance Regulatory Authority of Uganda,2020,https://ira.go.ug/download/the-insurance-regulatory-sandbox-guidelines-2020/,Issued guidelines to foster innovation within the insurance sector through a regulatory sandbox.,"Regulatory Sandbox, Insurance Fintech",Innovation & Adoption Trends,International,African
Egypt,Fatwa on Bitcoin,Dar al-Ifta,2017,https://islamiclaw.blog/2022/05/05/fatwas-on-cryptocurrency-egypts-dar-al-ifta%CA%BE/,"Declared Bitcoin forbidden (haram) due to uncertainty, high risk, and potential negative economic impact.","Religious Prohibition, Risk Advisory","Risk, Security & Consumer Protection",International,International
Rwanda,A Case Study on Blockchain in the Rwandan Pharmaceutical Supply Chain,Journal of Health Informatics in Africa,2023,https://jhia-online.org/index.php/jhia/article/view/157,"Details a pilot project in Rwanda that used a blockchain platform (from company Chronicled) to track medical products, analyzing its successes and challenges.",Public Health & Healthcare,Sector-Specific Applications,International,African
Kenya,DAOs as Digital Cooperatives in Kenya,Strathmore University,2025,https://law.strathmore.edu/wp-content/uploads/2024/01/sls-working-paper-series.pdf,"A working paper exploring if Kenya's existing, robust cooperative laws could be adapted to provide a legal framework and recognition for Decentralized Autonomous Organizations.",DAOs & Digital Governance,"Regulation, Law & Compliance",African,International
All Countries,Global Crypto Regulation Report 2025,PwC,2025,https://legal.pwc.de/content/services/global-crypto-regulation-report/pwc-global-crypto-regulation-report-2025.pdf,"Provides an overview of the global regulatory landscape for digital assets, including legislative, regulatory, and licensing status as of January 2025.","Regulatory Landscape,","Regulation, Law & Compliance",International,International
CEMAC (Regional),Updated Financial Market Regulation,Financial Market Regulator of the CEMAC Zone (COSUMAF),2022,https://legalnetworkinternational.com/regulating-virtual-asset-services-in-the-cemac-zone-a-look-at-the-updated-financial-market-regulation/,"Establishes a legal framework for crypto platforms, defining virtual asset services and providers. This follows a decision by the regional central bank (BEAC) to prohibit financial institutions from facilitating crypto transactions.","Regional Policy, Regulation, VASP, Ban","Regulation, Law & Compliance",International,International
Global (with Africa focus),Fintech and the Future of Finance,The World Bank,2022,https://openknowledge.worldbank.org/bitstream/handle/10986/36764/9781464818451.pdf,"A broad World Bank policy research report with sections discussing how crypto assets are being adopted in emerging markets, including in Africa, as both a speculative asset and a payment tool.",FinTech & Innovation,Innovation & Adoption Trends,International,International
Gambia,Cryptocurrency Regulation,Government of Gambia,2024,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,"Focuses on legal recognition of digital currencies, consumer protection, AML protocols, and fostering fintech innovation.","Regulatory Framework, Consumer Protection, AML","Risk, Security & Consumer Protection",International,African
Algeria,2018 Financial law of Algeria,Government of Algeria,2018,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,"The 2018 Financial law of Algeria prohibited the purchase, sale, use and possession of virtual currency. Using cryptocurrency will result in punishment.","Ban, Legal Framework","Regulation, Law & Compliance",International,African
Benin,Benin and Cryptocurrency,Government of Benin,2018,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,Cryptocurrencies are legal but unregulated. It was reported in 2018 that Benin joined a project to provide member countries with their own cryptocurrency.,"Regulation, Regional Cooperation","Regulation, Law & Compliance",International,African
Botswana,Virtual Asset Act,Government of Botswana,2022,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,A Bill was passed in February 2022 to regulate crypto and digital trading. Any company offering cryptocurrency services must obtain a license from the Non-Bank Financial Institutions Regulatory Authority.,"Regulation, Licensing, VASP","Regulation, Law & Compliance",International,African
Burkina Faso,Burkina Faso and Cryptocurrency,Government of Burkina Faso,2022,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,"Cryptocurrencies are legal, although there is no specific legislation or regulation in place.",Regulation,"Regulation, Law & Compliance",International,African
Cameroon,Cameroon and Cryptocurrency,Government of Cameroon,2022,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,"No legal status for cryptocurrencies, but they are not illegal. Cameroon is currently moving to regulate cryptocurrencies according to the Ministry of Posts and Telecommunications.",Regulation,"Regulation, Law & Compliance",International,African
Central African Republic,Bill on Legal Tender,Government of the Central African Republic,2022,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,The Central African Republic adopted a bill to make Bitcoin legal tender alongside its CFA franc and legalized the use of cryptocurrency. The BEAC has urged the CAR to annul this law.,"Legal Tender, Bitcoin, Policy","Regulation, Law & Compliance",International,African
Chad,Chad and Cryptocurrency,Government of Chad,2022,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,"No legal status for cryptocurrencies and no specific regulation. As a member of CEMAC, it is subject to the regional central bank's (BEAC) negative view on crypto.","Regulation, Regional Policy","Regulation, Law & Compliance",International,African
Comoros,Comoros and Cryptocurrency,Government of Comoros,2022,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,"No legal status for cryptocurrencies and no specific regulation. However, offshore crypto licenses are available.","Regulation, Licensing","Regulation, Law & Compliance",International,African
Côte d’Ivoire,Cote d'ivoire and Cryptocurrency,Government of Côte d’Ivoire,2018,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,No legal status for cryptocurrencies and no specific regulation. It was reported in 2018 to have joined a project to provide member countries with their own cryptocurrency.,"Regulation, Regional Cooperation","Regulation, Law & Compliance",International,African
Equatorial Guinea,Equitorial Quinea and Cryptocurrency,Government of Equatorial Guinea,2022,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,"No legal status for cryptocurrencies and no specific regulation. As a member of CEMAC, it is subject to the regional central bank's (BEAC) negative view on crypto.","Regulation, Regional Policy","Regulation, Law & Compliance",International,African
Eritrea,Eritrea and Cryptocurrency,Government of Eritrea,2022,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,No legal status for cryptocurrencies and no regulation. 24 ICOs have restricted people from Eritrea from participating.,"Regulation, ICO restrictions","Regulation, Law & Compliance",International,African
The Gambia,The Gambia and Cryptocurrency,Government of The Gambia,2024,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,"No legal status for cryptocurrencies, but regulation is centered around legal recognition, consumer protection, AML protocols, and fostering innovation.","Regulation, Consumer Protection, AML/CFT, Innovation","Risk, Security & Consumer Protection",International,African
Guinea,Guinea and Cryptocurrency,Government of Guinea,2022,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,"No legal status for cryptocurrencies, no regulation, and they are not considered legal tender or accepted currency.","Ban, Legal Tender","Regulation, Law & Compliance",International,African
Liberia,Liberia and Cryptocurrency,Government of Liberia,2022,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,No legal status for cryptocurrencies and no specific regulation. The Central Bank of Liberia has warned local startups to cease activities.,"Regulation, Ban","Regulation, Law & Compliance",International,African
Malawi,Reserve Bank of Malawi Statement,Reserve Bank of Malawi,2022,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,The Reserve Bank of Malawi said that cryptocurrency is illegal and the state does not recognise crypto investments in the country.,"Ban, Investment","Regulation, Law & Compliance",International,African
Mali,Mali and Cryptocurrency,Government of Mali,2022,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,Cryptocurrency has no legal status and there is no specific regulation.,Regulation,"Regulation, Law & Compliance",International,African
Mauritania,Mauritania and Cryptocurrency,Government of Mauritania,2022,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,Cryptocurrency has no legal status and there is no specific regulation. The central bank is exploring a CBDC.,"Regulation, CBDC",CBDC & Monetary Policy,International,African
Mozambique,Central Bank Statement,Central Bank of Mozambique,2018,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,"Cryptocurrencies are legal but not regulated. The Central Bank advises caution, describing their use in illicit activities.","Regulation, Illicit Finance","Risk, Security & Consumer Protection",International,African
Namibia,Namibia Virtual Assets Act 2023,Government of Namibia,2023,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,"The Act aims to designate a regulatory authority to supervise virtual asset service providers and related activities, ensure consumer protection, and prevent market abuse and money laundering.","Regulation, VASP, Consumer Protection, AML/CFT","Risk, Security & Consumer Protection",International,African
Niger,Niger and Cryptocurrency,Government of Niger,2022,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,No legal status for cryptocurrencies and no specific regulation.,Regulation,"Regulation, Law & Compliance",International,African
Rwanda,National Bank of Rwanda (NBR) Letter,National Bank of Rwanda,2023,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,"The NBR issued a letter banning regulated financial service providers from facilitating crypto transactions until a regulatory framework is in place. The NBR is also pursuing the development of a CBDC, aiming for a 2026 introduction.","Ban, Regulation, CBDC",CBDC & Monetary Policy,African,African
